iter	Passed	Remaining
0	2	2086
1	4	2446
2	6	2145
3	9	2291
4	11	2367
5	14	2360
6	16	2335
7	17	2214
8	19	2171
9	21	2100
10	23	2121
11	25	2118
12	27	2100
13	29	2050
14	30	2009
15	32	1980
16	34	2005
17	37	2046
18	39	2040
19	41	2019
20	42	1997
21	44	1977
22	46	1957
23	47	1947
24	49	1944
25	51	1936
26	53	1924
27	54	1908
28	56	1892
29	58	1880
30	59	1868
31	61	1862
32	63	1857
33	65	1852
34	66	1841
35	68	1828
36	69	1820
37	71	1806
38	73	1798
39	74	1796
40	76	1789
41	78	1786
42	80	1781
43	81	1775
44	83	1766
45	84	1758
46	86	1748
47	88	1748
48	89	1745
49	91	1735
50	93	1738
51	94	1728
52	96	1717
53	97	1704
54	98	1694
55	100	1693
56	102	1692
57	104	1690
58	105	1684
59	107	1678
60	108	1672
61	110	1667
62	112	1668
63	113	1662
64	115	1660
65	116	1654
66	118	1656
67	120	1653
68	122	1650
69	123	1647
70	125	1642
71	127	1643
72	129	1640
73	130	1638
74	132	1635
75	134	1633
76	135	1630
77	137	1629
78	139	1625
79	141	1627
80	143	1629
81	145	1627
82	147	1625
83	148	1623
84	150	1623
85	152	1619
86	153	1615
87	155	1614
88	157	1610
89	159	1607
90	160	1603
91	162	1601
92	163	1599
93	165	1595
94	166	1590
95	168	1590
96	170	1591
97	172	1588
98	174	1587
99	176	1587
100	178	1587
101	179	1584
102	183	1597
103	185	1600
104	188	1603
105	189	1602
106	191	1599
107	193	1601
108	195	1599
109	196	1593
110	198	1589
111	200	1587
112	201	1584
113	203	1581
114	205	1579
115	206	1575
116	208	1575
117	210	1572
118	211	1568
119	213	1565
120	215	1566
121	217	1566
122	219	1564
123	221	1562
124	222	1560
125	224	1557
126	226	1554
127	227	1553
128	230	1553
129	232	1555
130	234	1552
131	235	1549
132	237	1546
133	238	1543
134	240	1540
135	242	1537
136	243	1536
137	245	1535
138	247	1532
139	248	1528
140	250	1526
141	252	1524
142	253	1520
143	255	1517
144	257	1516
145	258	1514
146	260	1512
147	262	1509
148	264	1507
149	265	1504
150	267	1503
151	269	1500
152	271	1505
153	273	1504
154	275	1502
155	277	1503
156	279	1502
157	282	1504
158	284	1503
159	286	1502
160	288	1501
161	290	1500
162	292	1500
163	294	1499
164	296	1501
165	299	1503
166	300	1501
167	303	1503
168	305	1503
169	307	1501
170	309	1500
171	312	1503
172	314	1502
173	316	1501
174	318	1499
175	320	1500
176	322	1498
177	325	1504
178	327	1502
179	329	1500
180	331	1500
181	333	1500
182	335	1496
183	337	1498
184	340	1498
185	342	1499
186	344	1498
187	346	1494
188	347	1489
189	348	1484
190	349	1481
191	351	1479
192	353	1479
193	355	1479
194	357	1476
195	359	1476
196	361	1473
197	363	1471
198	364	1468
199	367	1471
200	370	1471
201	371	1468
202	373	1466
203	375	1465
204	376	1461
205	378	1460
206	380	1457
207	382	1456
208	383	1453
209	385	1450
210	387	1448
211	389	1445
212	390	1444
213	392	1443
214	394	1440
215	396	1439
216	398	1437
217	400	1435
218	402	1436
219	404	1435
220	406	1433
221	408	1431
222	410	1428
223	412	1427
224	413	1424
225	415	1424
226	417	1423
227	419	1419
228	420	1415
229	422	1412
230	423	1411
231	425	1409
232	427	1406
233	428	1403
234	430	1400
235	432	1398
236	433	1395
237	434	1392
238	436	1390
239	438	1388
240	439	1384
241	441	1381
242	442	1378
243	444	1377
244	446	1375
245	447	1371
246	448	1367
247	449	1364
248	451	1360
249	453	1359
250	454	1356
251	456	1354
252	458	1352
253	459	1349
254	461	1347
255	463	1345
256	464	1343
257	466	1340
258	468	1339
259	470	1337
260	471	1335
261	473	1333
262	474	1330
263	476	1327
264	478	1326
265	479	1323
266	481	1321
267	483	1319
268	484	1316
269	486	1315
270	488	1314
271	490	1311
272	491	1309
273	493	1307
274	494	1304
275	497	1303
276	498	1301
277	500	1299
278	501	1297
279	503	1294
280	505	1293
281	506	1290
282	508	1287
283	510	1286
284	511	1283
285	512	1280
286	514	1278
287	516	1275
288	517	1272
289	519	1270
290	520	1268
291	521	1264
292	524	1266
293	527	1266
294	529	1265
295	531	1263
296	533	1261
297	534	1259
298	536	1256
299	537	1255
300	539	1252
301	540	1250
302	543	1249
303	544	1246
304	546	1245
305	548	1243
306	550	1241
307	552	1240
308	554	1239
309	556	1239
310	558	1237
311	560	1236
312	562	1234
313	564	1233
314	567	1233
315	568	1231
316	571	1230
317	573	1230
318	575	1228
319	577	1227
320	578	1224
321	580	1222
322	582	1220
323	584	1218
324	586	1218
325	588	1216
326	590	1214
327	592	1213
328	594	1211
329	595	1209
330	597	1207
331	599	1205
332	600	1203
333	602	1201
334	604	1200
335	606	1198
336	609	1198
337	611	1197
338	614	1197
339	616	1196
340	618	1195
341	620	1193
342	622	1191
343	623	1189
344	625	1187
345	627	1186
346	629	1185
347	631	1183
348	632	1180
349	634	1179
350	636	1176
351	638	1174
352	640	1173
353	641	1171
354	643	1169
355	645	1168
356	648	1168
357	652	1169
358	661	1181
359	664	1180
360	666	1179
361	668	1178
362	671	1178
363	674	1178
364	676	1176
365	677	1174
366	679	1172
367	681	1170
368	683	1169
369	686	1168
370	688	1167
371	691	1166
372	692	1164
373	694	1162
374	696	1160
375	698	1159
376	700	1157
377	702	1156
378	705	1155
379	707	1153
380	709	1152
381	713	1153
382	715	1153
383	718	1152
384	720	1150
385	722	1149
386	724	1147
387	726	1145
388	728	1143
389	729	1141
390	731	1138
391	733	1137
392	735	1135
393	736	1133
394	738	1130
395	740	1129
396	742	1127
397	743	1124
398	743	1120
399	744	1117
400	745	1114
401	747	1111
402	747	1107
403	748	1104
404	754	1108
405	764	1118
406	766	1116
407	768	1114
408	770	1113
409	771	1110
410	773	1108
411	776	1107
412	777	1104
413	778	1102
414	779	1099
415	782	1098
416	785	1097
417	787	1096
418	789	1094
419	791	1093
420	793	1091
421	795	1089
422	797	1087
423	799	1086
424	801	1084
425	803	1082
426	805	1081
427	807	1078
428	809	1076
429	811	1075
430	813	1073
431	815	1072
432	817	1070
433	819	1068
434	821	1066
435	823	1064
436	825	1063
437	827	1061
438	829	1059
439	831	1057
440	833	1056
441	835	1054
442	837	1052
443	839	1051
444	842	1050
445	844	1049
446	847	1048
447	849	1046
448	851	1044
449	853	1043
450	856	1042
451	858	1041
452	861	1039
453	863	1038
454	865	1036
455	867	1034
456	868	1032
457	871	1030
458	873	1029
459	874	1026
460	876	1024
461	878	1023
462	881	1022
463	883	1020
464	885	1019
465	888	1017
466	890	1016
467	893	1016
468	896	1015
469	898	1013
470	900	1011
471	901	1008
472	903	1006
473	905	1005
474	907	1002
475	909	1000
476	911	999
477	912	997
478	914	995
479	916	993
480	918	991
481	920	988
482	921	986
483	923	984
484	925	982
485	927	980
486	929	978
487	931	977
488	933	975
489	935	974
490	937	972
491	939	970
492	941	968
493	943	966
494	945	964
495	947	962
496	948	960
497	950	958
498	952	956
499	953	953
500	955	951
501	956	949
502	958	947
503	959	944
504	961	942
505	963	940
506	964	938
507	966	936
508	968	933
509	969	931
510	971	929
511	973	927
512	974	925
513	976	923
514	978	921
515	980	919
516	982	917
517	983	915
518	985	913
519	987	911
520	988	909
521	990	906
522	991	904
523	993	902
524	995	900
525	996	897
526	997	895
527	999	893
528	1000	891
529	1002	888
530	1004	886
531	1006	885
532	1007	883
533	1009	881
534	1012	879
535	1014	877
536	1016	876
537	1018	874
538	1021	873
539	1023	871
540	1025	870
