iter	RMSE
0	14.75186138
1	14.65932348
2	14.57860687
3	14.50171244
4	14.40712342
5	14.31080515
6	14.22856709
7	14.15950022
8	14.07958985
9	14.00376351
10	13.94584922
11	13.85379652
12	13.78723869
13	13.69580278
14	13.62782873
15	13.55763253
16	13.47192058
17	13.38921047
18	13.31838565
19	13.23611034
20	13.16460233
21	13.09004196
22	13.03091799
23	12.95130794
24	12.86831903
25	12.78975623
26	12.74073011
27	12.66485445
28	12.58877786
29	12.52586657
30	12.46001861
31	12.39694331
32	12.33155652
33	12.26917175
34	12.20278051
35	12.13861194
36	12.08476148
37	12.02396654
38	11.94962302
39	11.88837362
40	11.83436765
41	11.77474854
42	11.70486603
43	11.64056257
44	11.5828849
45	11.51420116
46	11.4444374
47	11.38911468
48	11.32616519
49	11.25780377
50	11.20423268
51	11.15423368
52	11.0877104
53	11.02817829
54	10.96242077
55	10.90488506
56	10.85365669
57	10.80781605
58	10.76549582
59	10.70767697
60	10.65899241
61	10.61177633
62	10.57245118
63	10.51895992
64	10.46248844
65	10.41204951
66	10.35994483
67	10.30450124
68	10.25363466
69	10.21260863
70	10.17015445
71	10.12571281
72	10.08056255
73	10.03762706
74	10.00627456
75	9.963322562
76	9.922917951
77	9.875261921
78	9.822138534
79	9.77041034
80	9.719590483
81	9.67693844
82	9.634710063
83	9.589818183
84	9.552375225
85	9.511273895
86	9.47503176
87	9.439139696
88	9.394358189
89	9.358844732
90	9.329432959
91	9.286206505
92	9.254977911
93	9.210307244
94	9.165313251
95	9.136226589
96	9.10959825
97	9.07471929
98	9.045271548
99	9.00746297
100	8.971099126
101	8.930572753
102	8.890218669
103	8.861357245
104	8.823056273
105	8.795819013
106	8.768420859
107	8.736058979
108	8.70867388
109	8.67169335
110	8.642868236
111	8.607613188
112	8.58044327
113	8.550450655
114	8.514160126
115	8.478518639
116	8.451953156
117	8.421806215
118	8.401343368
119	8.366443692
120	8.341286163
121	8.307397333
122	8.272619413
123	8.240354323
124	8.207318131
125	8.18208573
126	8.152955922
127	8.132553602
128	8.102692548
129	8.075703719
130	8.043447177
131	8.017733674
132	7.986661784
133	7.958012178
134	7.93183295
135	7.911493249
136	7.88424899
137	7.860377068
138	7.833517468
139	7.805941477
140	7.783586679
141	7.763242882
142	7.736209384
143	7.719624144
144	7.696493453
145	7.677860703
146	7.651494111
147	7.633294734
148	7.607197969
149	7.591614184
150	7.575371171
151	7.55477707
152	7.531948319
153	7.512558328
154	7.488137946
155	7.46217993
156	7.445402925
157	7.428180324
158	7.406158642
159	7.390505642
160	7.369542616
161	7.349413818
162	7.32700024
163	7.308561038
164	7.285403767
165	7.266735496
166	7.245551694
167	7.226939707
168	7.209998045
169	7.193009015
170	7.175311201
171	7.16385782
172	7.146835908
173	7.130085431
174	7.112535218
175	7.099685292
176	7.083130028
177	7.064690202
178	7.049391612
179	7.033445538
180	7.018182615
181	7.003829856
182	6.983582852
183	6.966105391
184	6.952870293
185	6.940441807
186	6.926268953
187	6.909007348
188	6.891999596
189	6.877154686
190	6.863871844
191	6.849542339
192	6.834410299
193	6.818924649
194	6.805261087
195	6.790026796
196	6.779595774
197	6.765716402
198	6.752216283
199	6.744130872
200	6.72837769
201	6.716760423
202	6.702885371
203	6.690837825
204	6.679481339
205	6.664085234
206	6.651207414
207	6.635313417
208	6.619909956
209	6.608693305
210	6.597184569
211	6.58659356
212	6.572926858
213	6.564328902
214	6.551762618
215	6.544635515
216	6.535248707
217	6.522537552
218	6.512444492
219	6.501003858
220	6.489719282
221	6.475817689
222	6.464168443
223	6.453343608
224	6.443587614
225	6.431365828
226	6.423655138
227	6.413025056
228	6.404456051
229	6.393593738
230	6.386604937
231	6.380055833
232	6.37137832
233	6.362917117
234	6.35120401
235	6.342168463
236	6.3343081
237	6.325088217
238	6.317196121
239	6.307108798
240	6.296841695
241	6.288250479
242	6.277949162
243	6.26746064
244	6.25831631
245	6.250247041
246	6.242334458
247	6.233333171
248	6.222053578
249	6.211315979
250	6.204174321
251	6.194729113
252	6.186457052
253	6.180034229
254	6.174082357
255	6.168798197
256	6.164215984
257	6.154316044
258	6.146295499
259	6.139977765
260	6.12946191
261	6.121231229
262	6.11256142
263	6.102654429
264	6.092499269
265	6.087043995
266	6.080886211
267	6.072045652
268	6.064967404
269	6.056832975
270	6.049745833
271	6.043663072
272	6.038491265
273	6.030904219
274	6.024218823
275	6.017477465
276	6.010059554
277	6.001885203
278	5.994306602
279	5.989666726
280	5.98594075
281	5.978347751
282	5.973849412
283	5.966340767
284	5.961090332
285	5.954991897
286	5.949169131
287	5.943269869
288	5.936216482
289	5.931612576
290	5.926252091
291	5.924682562
292	5.917486512
293	5.910397122
294	5.902880791
295	5.895053088
296	5.888552588
297	5.881540734
298	5.876218048
299	5.871611173
300	5.866142546
301	5.862513788
302	5.857087039
303	5.850601177
304	5.845940834
305	5.841226363
306	5.83598234
307	5.828421888
308	5.821655377
309	5.817334181
310	5.813916565
311	5.807271707
312	5.7997068
313	5.795282485
314	5.79042577
315	5.785577258
316	5.782066112
317	5.77927257
318	5.775230482
319	5.772259977
320	5.767767629
321	5.764379753
322	5.761793666
323	5.757613185
324	5.753930485
325	5.749346343
326	5.744380161
327	5.740076456
328	5.738183614
329	5.733739621
330	5.72846126
331	5.72354376
332	5.719016722
333	5.715312608
334	5.710771996
335	5.708626531
336	5.704215846
337	5.700247643
338	5.69525242
339	5.689692599
340	5.686548997
341	5.682617447
342	5.679140847
343	5.674718401
344	5.670084292
345	5.667344381
346	5.66441186
347	5.66037308
348	5.655587303
349	5.652901554
350	5.649817259
351	5.646445511
352	5.64340293
353	5.640493708
354	5.637221106
355	5.63375878
356	5.630312158
357	5.627763835
358	5.624322941
359	5.621564709
360	5.618174964
361	5.614824571
362	5.61117726
363	5.607139888
364	5.603777515
365	5.601414973
366	5.597459331
367	5.595031073
368	5.59138101
369	5.588475727
370	5.586140743
371	5.582452626
372	5.579191025
373	5.575861535
374	5.573391661
375	5.570437307
376	5.567082104
377	5.563954613
378	5.560648769
379	5.558999815
380	5.55697826
381	5.553668511
382	5.552071129
383	5.549296172
384	5.54525311
385	5.543216478
386	5.54072081
387	5.537637779
388	5.5351247
389	5.532121656
390	5.529405988
391	5.527607178
392	5.525722998
393	5.521939559
394	5.51854746
395	5.516859173
396	5.514278606
397	5.511008715
398	5.51030356
399	5.508175069
400	5.505215254
401	5.503041937
402	5.502432055
403	5.500533597
404	5.497687019
405	5.495668227
406	5.49383348
407	5.491581398
408	5.48918482
409	5.487066512
410	5.48329378
411	5.480568645
412	5.479067683
413	5.477735712
414	5.475259343
415	5.474178022
416	5.47230709
417	5.470372441
418	5.467912861
419	5.466525758
420	5.465202837
421	5.463091089
422	5.461872154
423	5.460089444
424	5.457404089
425	5.454801981
426	5.451936194
427	5.449962096
428	5.449349705
429	5.446747863
430	5.444698666
431	5.442280582
432	5.440640929
433	5.439900059
434	5.437682171
435	5.43494423
436	5.433932039
